NPA,median_age_of_residents_2022,high_speed_internet_access_2022,employment_2022,single_family_housing_2022_Raw,residential_occupancy_2022,home_ownership_2022,vacant_land_in_acres_2022,proximity_to_public_transportation_2022,street_connectivity_index_2022,proximity_to_school_age_care_2022,proximity_to_early_care_and_education_2022
2,33,76.6%,95.5%,504,94%,38.7%,21,1129,1,1121,651
3,31,91.6%,97.6%,1613,86.4%,38.9%,25,8510,2,6605,7502
4,44,91.9%,98%,364,89.7%,100%,13,353,1,162,172
5,31,63.9%,84.7%,189,94%,23.2%,36,336,1,346,346
6,36,59.8%,100%,675,88%,31.5%,37,811,1,789,811
7,49,83.4%,100%,415,87.3%,92.4%,9,558,1,354,0
8,38,73.2%,100%,457,97.4%,47.1%,12,1143,1,220,243
9,35,88.2%,100%,284,93%,83.5%,3,320,1,320,320
10,35,69.8%,94.2%,1232,87.4%,44.3%,15,1736,1,1736,1736
11,45,90.9%,98.8%,776,96.7%,79.1%,14,1237,1,1029,1022
12,29,62.6%,95.5%,0,87.6%,5.7%,2,1257,1,1257,1257
13,31,79.9%,96.7%,631,93.9%,35%,4,1830,1,1372,1545
14,35,82.9%,100%,879,96%,42.2%,27,1205,1,1613,1613
15,52,98.1%,98.6%,812,91.5%,96.1%,26,0,1,3,491
16,33,71%,90.9%,1190,95.1%,49.8%,10,1960,1,2105,2113
17,42,67.6%,89.4%,860,92.6%,50.6%,8,1253,1,1253,1253
18,31,90.5%,98.5%,731,88.9%,47.7%,29,1816,1,833,432
19,43,91.7%,94.1%,1142,94.1%,85.9%,18,1753,1,1028,598
20,51,87.8%,98.5%,763,98.2%,70.6%,2,619,1,502,314
21,28,68.3%,99.2%,351,96.7%,21.4%,67,1894,1,1893,1893
22,32,80.9%,99.4%,140,93.6%,20.9%,21,3797,1,2786,2126
23,38,58%,100%,202,84.2%,20.9%,37,461,1,378,514
24,41,93.1%,99.4%,340,87.3%,90.3%,4,340,1,321,321
25,44,91%,93%,860,95.1%,83.6%,19,277,1,334,156
26,33,73.7%,95.8%,1093,94.8%,85.5%,236,134,1,62,62
27,28,86.6%,99.4%,699,96.4%,74.6%,16,906,1,597,563
28,42,93.4%,100%,257,82.3%,85.3%,1,588,1,526,489
29,58,80.3%,93.7%,311,93.2%,87.3%,12,0,1,0,343
30,32,74%,92.6%,100,92.3%,11.9%,11,1600,1,44,1598
31,40,94%,99.5%,578,100%,75.6%,3,478,1,141,372
32,59,100%,92.6%,0,76.1%,91.2%,0,220,1,143,220
33,32,82.3%,97.5%,39,100%,11.6%,42,625,1,624,624
34,31,65.8%,86.1%,1347,100%,73.9%,216,242,1,1076,1076
35,41,87.5%,97.8%,1164,97.6%,84.7%,942,170,1,0,0
36,37,89.2%,95.6%,804,91.6%,84%,23,842,1,675,675
37,39,82.9%,92.6%,613,87.9%,57%,12,1092,1,432,324
38,47,92.1%,97.4%,738,100%,86.6%,137,810,1,853,729
39,42,71%,94.4%,993,97.5%,72.9%,109,44,1,882,882
40,39,60.3%,92.8%,642,96.1%,42.3%,16,1246,1,1246,1246
41,38,85.7%,100%,374,91.8%,50.7%,10,627,1,193,290
42,38,91.8%,94.2%,339,94.9%,69.1%,0,802,1,1098,193
43,37,86.2%,100%,390,81.2%,64.1%,4,11,1,488,488
44,31,78%,96.1%,170,97.5%,41.1%,19,212,1,356,0
45,33,97.5%,95.5%,1494,95.3%,64.5%,92,1344,1,1592,1044
46,38,70.8%,98.1%,411,93.4%,27.3%,3,0,1,641,641
47,37,85.4%,77.6%,21,100%,0%,1,603,1,541,541
48,31,86.6%,89.5%,500,89%,57.8%,356,252,1,505,505
49,37,72.9%,99.7%,1022,100%,54.7%,132,0,1,710,752
50,29,61.6%,86.2%,416,87%,30.9%,3,907,1,985,985
51,32,97%,98.5%,394,81.2%,57.2%,15,1377,1,1270,1270
52,24,57.8%,99%,179,95.1%,7.5%,11,811,1,546,546
53,35,72.9%,94.2%,532,93%,31.2%,69,1394,1,1394,1394
54,40,66.3%,92.6%,567,89.7%,81.3%,266,538,1,449,309
55,44,92.3%,94.5%,680,97.4%,87.7%,40,288,1,261,261
56,48,84.6%,96.5%,104,97.9%,62.5%,40,324,1,0,0
57,32,68.4%,92.8%,224,92.9%,43.3%,0,817,2,817,817
58,29,69.2%,96.3%,253,93.1%,43.1%,6,483,1,483,483
59,35,91%,96.7%,387,88.6%,29.6%,43,1343,1,1190,1279
60,24,81.4%,97.3%,5,89.2%,5.5%,177,1826,1,1732,1732
61,31,78.6%,97.2%,278,96.4%,73.2%,46,0,1,436,436
62,19,--,72.6%,0,0%,--,0,0,1,0,0
64,26,74.5%,95%,234,84%,11.8%,35,2522,1,1305,1305
65,25,88.6%,98%,3,96.8%,0%,151,1214,1,659,659
66,27,67.4%,93.8%,35,86.6%,9.7%,9,1353,1,0,0
67,33,91.4%,94.4%,1,92.1%,4.7%,10,854,1,853,853
68,43,72.6%,98.5%,344,93.3%,44.8%,154,686,1,1092,1072
69,41,88.3%,97.9%,239,69.3%,43.3%,3,1061,1,549,0
70,54,55.8%,89%,522,93.3%,70.2%,6,522,1,522,522
